DOMAINS,REQUEST,BLOCK,IMPRESSION,VIEWABLE,MEASURED,CLICKS,INCIDENTS,COMPLETES
suggest.com,0,0,,,,,,
shefinds.com,0,0,,,,,,
lifebuzz.com,0,0,,,,,,
newstatesman.com,0,0,,,,,,
lilluna.com,0,0,,,,,,
sallysbakingaddiction.com,0,0,,,,,,
magiquiz.com,0,0,,,,,,
adserver.popyard.com,0,0,,,,,,
gaiaonline.com,0,0,,,,,,
superhealthykids.com,0,0,,,,,,
therecipecritic.com,0,0,,,,,,
tumblr.com,0,0,,,,,,
miamiherald.com,0,0,,,,,,
covers.com,0,0,,,,,,
tpc.googlesyndication.com,0,0,,,,,,
news.keralakaumudi.com,0,0,,,,,,
smh.com.au,0,0,,,,,,
mylifetime.com,0,0,,,,,,
gainesvilletimes.com,0,0,,,,,,
football365.com,0,0,,,,,,
indianexpress.com,0,0,,,,,,
closetcooking.com,0,0,,,,,,
divascancook.com,0,0,,,,,,
momontimeout.com,0,0,,,,,,
kansascity.com,0,0,,,,,,
disneyfanatic.com,0,0,,,,,,
lifedaily.com,0,0,,,,,,
allthetests.com,0,0,,,,,,
halfbakedharvest.com,0,0,,,,,,
teamtalk.com,0,0,,,,,,
thegrio.com,0,0,,,,,,
express.pk,0,0,,,,,,
goliath.com,0,0,,,,,,
thehealthyhomeeconomist.com,0,0,,,,,,
clipd.com,0,0,,,,,,
tvline.com,0,0,,,,,,
fox5dc.com,0,0,,,,,,
minimalistbaker.com,0,0,,,,,,
americanheritagecooking.com,0,0,,,,,,
manchestereveningnews.co.uk,0,0,,,,,,
beta.ajitjalandhar.com,0,0,,,,,,
damndelicious.net,0,0,,,,,,
themarysue.com,0,0,,,,,,
kraftrecipes.com,0,0,,,,,,
scrabblecheat.com,0,0,,,,,,
sltrib.com,0,0,,,,,,
viralthread.com,0,0,,,,,,
macworld.com,0,0,,,,,,
drugs.com,0,0,,,,,,
sherdog.com,0,0,,,,,,
cooltext.com,0,0,,,,,,
m.hi5.com,0,0,,,,,,
pcworld.com,0,0,,,,,,
express.co.uk,0,0,,,,,,
cristcdl.com,0,0,,,,,,
soaps.sheknows.com,0,0,,,,,,
strawpoll.me,0,0,,,,,,
telugu.oneindia.com,0,0,,,,,,
androidauthority.com,0,0,,,,,,
thescore.com,0,0,,,,,,
lovegrowswild.com,0,0,,,,,,
freep.com,0,0,,,,,,
writersdigest.com,0,0,,,,,,
abc11.com,0,0,,,,,,
kptv.com,0,0,,,,,,
americanpregnancy.org,0,0,,,,,,
whats-on-netflix.com,0,0,,,,,,
dmv-written-test.com,0,0,,,,,,
funcheaporfree.com,0,0,,,,,,
twopeasandtheirpod.com,0,0,,,,,,
unilad.co.uk,0,0,,,,,,
m.goliath.com,0,0,,,,,,
tasteofcountry.com,0,0,,,,,,
more.com,0,0,,,,,,
upi.com,0,0,,,,,,
distractify.com,0,0,,,,,,
emisorasunidas.com,0,0,,,,,,
ultimateclassicrock.com,0,0,,,,,,
mooglyblog.com,0,0,,,,,,
leoaffairs.com,0,0,,,,,,
financialexpress.com,0,0,,,,,,
foodbeast.com,0,0,,,,,,
dek-d.com,0,0,,,,,,
mentertained.com,0,0,,,,,,
pauladeen.com,0,0,,,,,,
whiskaffair.com,0,0,,,,,,
dolartoday.com,0,0,,,,,,
collegehumor.com,0,0,,,,,,
ibtimes.co.in,0,0,,,,,,
charlotteobserver.com,0,0,,,,,,
inmyownstyle.com,0,0,,,,,,
cibercuba.com,0,0,,,,,,
toriavey.com,0,0,,,,,,
idahostatesman.com,0,0,,,,,,
zemtv.com,0,0,,,,,,
capitalfm.com,0,0,,,,,,
attitude.co.uk,0,0,,,,,,
mundo.com,0,0,,,,,,
break.com,0,0,,,,,,
thedrive.com,0,0,,,,,,
komando.com,0,0,,,,,,
m.newsok.com,0,0,,,,,,
desmoinesregister.com,0,0,,,,,,
redding.com,0,0,,,,,,
nationalenquirer.com,0,0,,,,,,
simplyrecipes.com,0,0,,,,,,
vcstar.com,0,0,,,,,,
m.lenta.ru,0,0,,,,,,
timeout.com,0,0,,,,,,
wrestleview.com,0,0,,,,,,
dinnerthendessert.com,0,0,,,,,,
letsgohawks.net,0,0,,,,,,
beap-bc.yahoo.com,0,0,,,,,,
trustedreviews.com,0,0,,,,,,
telegram.hr,0,0,,,,,,
younghouselove.com,0,0,,,,,,
wiadomosci.gazeta.pl,0,0,,,,,,
s.yimg.com,0,0,,,,,,
artofmanliness.com,0,0,,,,,,
paristeam.fr,0,0,,,,,,
entertainment.kompas.com,0,0,,,,,,
dailylocal.com,0,0,,,,,,
nickiswift.com,0,0,,,,,,
sport1.de,0,0,,,,,,
m.sfgate.com,0,0,,,,,,
m.kusports.com,0,0,,,,,,
streamable.com,0,0,,,,,,
s0.2mdn.net,0,0,,,,,,
lifehacker.com.au,0,0,,,,,,
tellychakkar.com,0,0,,,,,,
thenextweb.com,0,0,,,,,,
cdn.playwire.com,0,0,,,,,,
home.remedydaily.com,0,0,,,,,,
sports.ltn.com.tw,0,0,,,,,,
techadvisor.co.uk,0,0,,,,,,
thenewsminute.com,0,0,,,,,,
ba-bamail.com,0,0,,,,,,
m.youm7.com,0,0,,,,,,
parenting.pl,0,0,,,,,,
planetf1.com,0,0,,,,,,
scoopwhoop.com,0,0,,,,,,
aax-us-pdx.amazon-adsystem.com,0,0,,,,,,
aax-us-east.amazon-adsystem.com,0,0,,,,,,
cooktopcove.com,0,0,,,,,,
icepop.com,0,0,,,,,,
recipe4living.com,0,0,,,,,,
imagecurl.com,0,0,,,,,,
classicfm.com,0,0,,,,,,
ad.hani.co.kr,0,0,,,,,,
historynet.com,0,0,,,,,,
romper.com,0,0,,,,,,
echo.msk.ru,0,0,,,,,,
theclemsoninsider.com,0,0,,,,,,
forums.theclemsoninsider.com,0,0,,,,,,
epaper.ajitjalandhar.com,0,0,,,,,,
portal.abczdrowie.pl,0,0,,,,,,
theroot.com,0,0,,,,,,
momjunction.com,0,0,,,,,,
designbump.com,0,0,,,,,,
news.sinovision.net,0,0,,,,,,
giveitlove.com,0,0,,,,,,
thereallife-rd.com,0,0,,,,,,
ampproject.net,0,0,,,,,,
m.warhistoryonline.com,0,0,,,,,,
ca-g2.gumgum.com,0,0,,,,,,
va-g2.gumgum.com,0,0,,,,,,
m.viva.co.id,0,0,,,,,,
astrology-zodiac-signs.com,0,0,,,,,,
eurogamer.net,0,0,,,,,,
eurosport.fr,0,0,,,,,,
powerofpositivity.com,0,0,,,,,,
sweetyhigh.com,0,0,,,,,,
thegoatspot.net,0,0,,,,,,
pluto.tv,0,0,,,,,,
healthyway.com,0,0,,,,,,
thelist.com,0,0,,,,,,
phunuonline.com.vn,0,0,,,,,,
telesurtv.net,0,0,,,,,,
properti.kompas.com,0,0,,,,,,
otomotif.kompas.com,0,0,,,,,,
vix.com,0,0,,,,,,
radiox.co.uk,0,0,,,,,,
freshcrush.com,0,0,,,,,,
hooch.net,0,0,,,,,,
slowcooker-potato.cooktopcove.com,0,0,,,,,,
standardnews.com,0,0,,,,,,
grizly.com,0,0,,,,,,
slowcooker-desserts.cooktopcove.com,0,0,,,,,,
vegetarian.cooktopcove.com,0,0,,,,,,
apost.com,0,0,,,,,,
sandbox.pulsepoint.com,0,0,,,,,,
adserver.curiouscat.me,0,0,,,,,,
lynx.media,0,0,,,,,,
cyclingweekly.com,0,0,,,,,,
popculture.com,0,0,,,,,,
wittyfeed.me,0,0,,,,,,
news.missdomesticated.com,0,0,,,,,,
popbuzz.com,0,0,,,,,,
news.thegedsection.com,0,0,,,,,,
conservativerepublic.co,0,0,,,,,,
ia.meaww.com,0,0,,,,,,
m.diletant.media,0,0,,,,,,
m.manhuagui.com,0,0,,,,,,
N/A,8,7,,,,,,
abcnews.go.com,8,5,,,,,,
m.huffpost.com,1,0,,,,,,
imasdk.googleapis.com,4,0,,,,,,
ib.adnxs.com,62,0,,,,,,
webmaila.juno.com,4,1,,,,,,
thestir.cafemom.com,3,0,,,,,,
editorial.rottentomatoes.com,41,0,,,,,,
rottentomatoes.com,15,6,,,,,,
mail.comcast.net,49,3,,,,,,
diethood.com,1,0,,,,,,
mashable.com,56,10,,,,,,
articles.chicagotribune.com,1,0,,,,,,
chess.com,529,13,,,,,,
runescape.wikia.com,7,1,,,,,,
apps.facebook.com,4,0,,,,,,
twistity.com,699,7,,,,,,
economictimes.indiatimes.com,824,68,,,,,,
indiatimes.com,1,0,,,,,,
mail.lycos.com,14,0,,,,,,
webmail.lycos.com,25,1,,,,,,
games.pch.com,16,7,,,,,,
pch.com,12,0,,,,,,
chocolatecoveredkatie.com,63,0,,,,,,
merriam-webster.com,385,11,,,,,,
gta5cheats.com,6,0,,,,,,
dogtime.com,1571,59,,,,,,
menupix.com,1,1,,,,,,
weeklystandard.com,1,0,,,,,,
gamebattles.majorleaguegaming.com,3,2,,,,,,
streamdb5web.securenetsystems.net,1471,66,,,,,,
centurylink.net,18,0,,,,,,
k12reader.com,5186,191,,,,,,
tpc.googlesyndication.com,231,0,,,,,,
radio.securenetsystems.net,17717,113,,,,,,
philadelphia.cbslocal.com,3,2,,,,,,
arrowheadpride.com,2,0,,,,,,
photogallery.indiatimes.com,1,0,,,,,,
cwtv.com,50,18,,,,,,
virginia.sportswar.com,1,1,,,,,,
stardoll.com,5,3,,,,,,
boston.cbslocal.com,3,1,,,,,,
detroit.cbslocal.com,1,1,,,,,,
denver.cbslocal.com,2,0,,,,,,
dfw.cbslocal.com,8,4,,,,,,
flyordie.com,1,0,,,,,,
my.juno.com,11,0,,,,,,
techtimes.com,1740,22,,,,,,
vt.lightspeedvt.com,26,19,,,,,,
brides.com,1,0,,,,,,
sportschatplace.com,198,2,,,,,,
spendwithpennies.com,1,0,,,,,,
sudoku.com.au,1,0,,,,,,
player.radioloyalty.com,1,1,,,,,,
filehippo.com,7,0,,,,,,
crosswordtracker.com,275,0,,,,,,
mail.twc.com,2,2,,,,,,
forsalebyowner.com,15,0,,,,,,
petplace.com,32,0,,,,,,
gstatic.com,1,0,,,,,,
mlbpark.donga.com,1,0,,,,,,
tutorvista.com,1,0,,,,,,
popsugar.com,1,1,,,,,,
moviefone.com,4,0,,,,,,
new.schoolnotes.com,9,0,,,,,,
c.peoplepc.com,2,1,,,,,,
zeenews.india.com,1,0,,,,,,
nbc12.com,14,7,,,,,,
news.creaders.net,307,238,,,,,,
creaders.net,1,1,,,,,,
biggeekdad.com,1,1,,,,,,
en.softonic.com,19,9,,,,,,
funtrivia.com,1,0,,,,,,
chessmaniac.com,27,0,,,,,,
yardbarker.com,122,2,,,,,,
pcmag.com,3,1,,,,,,
weatherbug.com,2,0,,,,,,
bizjournals.com,2,1,,,,,,
driversprep.com,7,6,,,,,,
thepioneerwoman.com,108,0,,,,,,
web.stmath.com,10,6,,,,,,
typingtest.com,413,10,,,,,,
mlbtraderumors.com,4,3,,,,,,
flyfrontier.com,4,3,,,,,,
prizegrab.com,2,1,,,,,,
minecraft-mp.com,4,2,,,,,,
lms.thinkthroughmath.com,338,275,,,,,,
crosswordheaven.com,1,0,,,,,,
wordreference.com,1296,1209,,,,,,
webmail.excite.com,7,5,,,,,,
excite.com,6,6,,,,,,
si.com,1,0,,,,,,
dukebasketballreport.com,1,1,,,,,,
kjrh.com,6,2,,,,,,
newgrounds.com,1,1,,,,,,
tv.gifthulk.com,1,1,,,,,,
nationalpost.com,2,0,,,,,,
cwseed.com,4,0,,,,,,
hoofoot.com,1,1,,,,,,
mtgtop8.com,5,0,,,,,,
play.typeracer.com,9,0,,,,,,
abc.go.com,1,1,,,,,,
adweek.com,2,0,,,,,,
funimation.com,16,1,,,,,,
pagesix.com,21,19,,,,,,
basketball-reference.com,2,1,,,,,,
youplay.com,23,0,,,,,,
pga.com,249,10,,,,,,
space-facts.com,1,0,,,,,,
shooter-bubble.com,8,3,,,,,,
ng.cengage.com,3,2,,,,,,
jetpunk.com,94,1,,,,,,
timesofsandiego.com,1,0,,,,,,
tennislink.usta.com,2,1,,,,,,
hudl.com,522,20,,,,,,
en.uptodown.com,25,1,,,,,,
appass.com,15,0,,,,,,
coupons.shoprite.com,6,6,,,,,,
more2.starfall.com,8,7,,,,,,
highya.com,2,0,,,,,,
phenomena.nationalgeographic.com,1,0,,,,,,
liketotally80s.com,19,0,,,,,,
physics.tutorvista.com,6,0,,,,,,
fansided.com,4,0,,,,,,
en.akinator.com,6,5,,,,,,
dinarrecaps.com,226,5,,,,,,
gamesradar.com,2,0,,,,,,
sudoku-solutions.com,52,0,,,,,,
glosbe.com,102,0,,,,,,
studyisland.com,1,1,,,,,,
gnli.christianpost.com,36,23,,,,,,
howmanysyllables.com,30,0,,,,,,
freedomnewspaper.com,63,5,,,,,,
ozarksfirst.com,12,2,,,,,,
blog.theanimalrescuesite.com,1,0,,,,,,
home.brandthunder.com,2,0,,,,,,
irishcentral.com,2,1,,,,,,
tribuneindia.com,3,1,,,,,,
oprah.com,9,0,,,,,,
southernhospitalityblog.com,2,0,,,,,,
